video_id,window_index,window_start_frame,window_start_sec,score,binary_at_selected_threshold,label,direction,confidence_mean
00030_H_A_N_C5,0,180,3.003000020980835,0.4317811131477356,0,0,N,0.3529786765575409
00030_H_A_N_C5,2,186,3.1029999256134033,0.36870691180229187,0,0,N,0.3496302366256714
00030_H_A_N_C5,4,192,3.203000068664551,0.3169182538986206,0,0,N,0.3505505323410034
00030_H_A_N_C5,6,198,3.302999973297119,0.3066887855529785,0,0,N,0.3530443608760834
00030_H_A_N_C5,8,204,3.4030001163482666,0.3038027584552765,0,0,N,0.35822293162345886
00030_H_A_N_C5,10,210,3.503999948501587,0.3132266104221344,0,0,N,0.3602391481399536
00030_H_A_N_C5,12,216,3.6040000915527344,0.34835007786750793,0,0,N,0.35726597905158997
00030_H_A_N_C5,14,222,3.7039999961853027,0.35079050064086914,0,0,N,0.3522948920726776
00030_H_A_N_C5,16,228,3.803999900817871,0.31039223074913025,0,0,N,0.352029949426651
00030_H_A_N_C5,18,234,3.9040000438690186,0.2716875970363617,0,0,N,0.36154183745384216
00030_H_A_N_C5,20,240,4.004000186920166,0.2505249083042145,0,0,N,0.36483070254325867
00030_H_A_N_C5,22,246,4.104000091552734,0.2904532551765442,0,0,N,0.3616717457771301
00030_H_A_N_C5,24,252,4.203999996185303,0.32854053378105164,0,0,N,0.3582204580307007
00030_H_A_N_C5,26,258,4.303999900817871,0.39370253682136536,0,0,N,0.3526588976383209
00030_H_A_N_C5,28,264,4.4039998054504395,0.462787926197052,0,0,N,0.3475474417209625
00030_H_A_N_C5,30,270,4.505000114440918,0.5421574711799622,1,0,N,0.3379574120044708
00030_H_A_N_C5,32,276,4.605000019073486,0.623531699180603,1,0,N,0.30643796920776367
00030_H_A_N_C5,34,282,4.704999923706055,0.647291898727417,1,0,N,0.28254467248916626
00030_H_A_N_C5,36,288,4.804999828338623,0.6479071974754333,1,0,N,0.31739017367362976
00030_H_A_N_C5,38,294,4.90500020980835,0.6364491581916809,1,0,N,0.32012292742729187
00030_H_A_N_C5,40,300,5.005000114440918,0.627002477645874,1,0,N,0.32446417212486267
00030_H_A_N_C5,42,306,5.105000019073486,0.6405988931655884,1,0,N,0.34173285961151123
00030_H_A_N_C5,44,312,5.204999923706055,0.6565325260162354,1,0,N,0.3355948030948639
00030_H_A_N_C5,46,318,5.304999828338623,0.66695636510849,1,0,N,0.3156024217605591
00030_H_A_N_C5,48,324,5.40500020980835,0.6253320574760437,1,0,N,0.3168593943119049
00030_H_A_N_C5,50,330,5.50600004196167,0.4731829762458801,0,0,N,0.31563472747802734
00030_H_A_N_C5,52,336,5.605999946594238,0.46450725197792053,0,0,N,0.3312959372997284
00030_H_A_N_C5,54,342,5.705999851226807,0.5580111742019653,1,0,N,0.3851567506790161
00030_H_A_N_C5,56,348,5.806000232696533,0.5104176998138428,0,0,N,0.3456493020057678
00030_H_A_N_C5,58,354,5.906000137329102,0.458606094121933,0,0,N,0.2943563163280487
00030_H_A_N_C5,60,360,6.00600004196167,0.3128732740879059,0,0,N,0.26884111762046814
00030_H_A_N_C5,62,366,6.105999946594238,0.2525295615196228,0,0,N,0.25544384121894836
00030_H_A_N_C5,64,372,6.205999851226807,0.21043166518211365,0,0,N,0.25069460272789
00030_H_A_N_C5,66,378,6.306000232696533,0.20949453115463257,0,0,N,0.24676814675331116
00030_H_A_N_C5,68,384,6.406000137329102,0.14334537088871002,0,0,N,0.2452993541955948
00030_H_A_N_C5,70,390,6.50600004196167,0.10374472290277481,0,0,N,0.24796070158481598
00030_H_A_N_C5,72,396,6.60699987411499,0.09394225478172302,0,0,N,0.27512046694755554
