video_id,direction,label,fall_ratio,confidence_mean,split
00005_H_A_N_C5,N,0,0.0,0.41364696621894836,train
00005_H_A_N_C5,N,0,0.0,0.4160757064819336,train
00005_H_A_N_C5,N,0,0.0,0.4181267023086548,train
00005_H_A_N_C5,N,0,0.0,0.41994673013687134,train
00005_H_A_N_C5,N,0,0.0,0.419095903635025,train
00005_H_A_N_C5,N,0,0.0,0.4185228645801544,train
00005_H_A_N_C5,N,0,0.0,0.4199828505516052,train
00005_H_A_N_C5,N,0,0.0,0.42001891136169434,train
00005_H_A_N_C5,N,0,0.0,0.42482224106788635,train
00005_H_A_N_C5,N,0,0.0,0.4284244179725647,train
00005_H_A_N_C5,N,0,0.0,0.4306732714176178,train
00005_H_A_N_C6,N,0,0.0,0.3789810836315155,train
00005_H_A_N_C6,N,0,0.0,0.37840506434440613,train
00005_H_A_N_C6,N,0,0.0,0.3783133029937744,train
00005_H_A_N_C6,N,0,0.0,0.3803388774394989,train
00005_H_A_N_C6,N,0,0.0,0.380036860704422,train
00005_H_A_N_C6,N,0,0.0,0.37803635001182556,train
00005_H_A_N_C6,N,0,0.0,0.38003110885620117,train
00005_H_A_N_C6,N,0,0.0,0.38295918703079224,train
00005_H_A_N_C6,N,0,0.0,0.3879704475402832,train
00005_H_A_N_C6,N,0,0.0,0.38942909240722656,train
00005_H_A_N_C6,N,0,0.0,0.39097854495048523,train
00005_H_A_N_C7,N,0,0.0,0.42304182052612305,train
00005_H_A_N_C7,N,0,0.0,0.42717239260673523,train
00005_H_A_N_C7,N,0,0.0,0.4311980903148651,train
00005_H_A_N_C7,N,0,0.0,0.436227411031723,train
00005_H_A_N_C7,N,0,0.0,0.43911710381507874,train
00005_H_A_N_C7,N,0,0.0,0.4416317045688629,train
00005_H_A_N_C7,N,0,0.0,0.44171255826950073,train
00005_H_A_N_C7,N,0,0.0,0.44171860814094543,train
00005_H_A_N_C7,N,0,0.0,0.442691445350647,train
00005_H_A_N_C7,N,0,0.0,0.44484180212020874,train
00005_H_A_N_C7,N,0,0.0,0.44473740458488464,train
